id,指标主键,quota_level,建议ID,风险级别,画像类别,驾驶员建议内容,管理员建议内容,建议来源
109,驾驶员画像-能耗风险-不良行为-左转弯未刹车,3,109,4,驾驶员画像,每日出车前测试刹车灵敏度，发现刹车软/异响立即停止运营并上报。,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
110,驾驶员画像-能耗风险-不良行为-右转弯未刹车,3,110,4,驾驶员画像,每日出车前测试刹车灵敏度，发现刹车软/异响立即停止运营并上报。,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
111,车辆画像-故障风险-车辆属性-车龄,3,111,4,车辆画像,,建立车龄指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
112,车辆画像-故障风险-车辆属性-车长,3,112,4,车辆画像,,建立车长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
113,车辆画像-故障风险-车辆属性-电池容量,3,113,4,车辆画像,,建立电池容量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
114,车辆画像-故障风险-车辆属性-车辆品牌,3,114,4,车辆画像,,建立车辆品牌指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
115,车辆画像-故障风险-车辆属性-车辆自重,3,115,4,车辆画像,,建立车辆自重指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
116,车辆画像-故障风险-车辆运营-平均速度,3,117,4,车辆画像,,建立平均速度指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
117,车辆画像-故障风险-车辆运营-运营时长,3,118,4,车辆画像,,建立运营时长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
118,车辆画像-故障风险-车辆设备-日充电次数,3,119,4,车辆画像,,建立日充电次数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
119,车辆画像-故障风险-车辆设备-日充电量,3,120,4,车辆画像,,建立日充电量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
120,车辆画像-故障风险-车辆设备-每公里耗电量,3,121,4,车辆画像,,建立公里耗电量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
121,车辆画像-故障风险-车辆设备-空气压缩机开启时长,3,122,4,车辆画像,,建立空气压缩机开启时长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
122,车辆画像-故障风险-车辆设备-空气压缩机开关次数,3,123,4,车辆画像,,建立空气压缩机开关次数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
123,车辆画像-故障风险-车辆设备-电池电压过低次数,3,124,4,车辆画像,,建立低压蓄电池电压指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
124,车辆画像-故障风险-车辆设备-电池电流过高次数,3,125,4,车辆画像,,建立低压蓄电池电流指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
125,车辆画像-故障风险-车辆设备-电池最大电流差,3,126,4,车辆画像,,建立电池最大电流差指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
126,车辆画像-故障风险-车辆设备-电池最大电压差,3,127,4,车辆画像,,建立电池最大电压差指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
127,车辆画像-故障风险-车辆维修-维修工单数,3,128,4,车辆画像,,建立维修工单数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
128,车辆画像-故障风险-车辆维修-ABS故障(仪表盘),3,129,4,车辆画像,,建立ABS故障(仪表盘)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
129,车辆画像-故障风险-车辆维修-动力电池故障(电池),3,130,4,车辆画像,,建立动力电池故障(电池)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
130,车辆画像-故障风险-车辆维修-空调工作模式(空调),3,131,4,车辆画像,,建立空调工作模式(空调)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
131,车辆画像-故障风险-车辆维修-单体高低电压差(平台定义域),3,132,4,车辆画像,,建立单体高低电压差(平台定义域)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
132,车辆画像-故障风险-车辆维修-左电机故障(电机),3,133,4,车辆画像,,建立左电机故障(电机)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
133,车辆画像-故障风险-车辆维修-右电机故障(电机),3,134,4,车辆画像,,建立右电机故障(电机)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
134,车辆画像-故障风险-车辆维修-动力电池故障(整车控制器),3,135,4,车辆画像,,建立动力电池故障(整车控制器)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
135,车辆画像-故障风险-车辆维修-轮胎温度报警(轮胎),3,136,4,车辆画像,,建立轮胎温度报警(轮胎)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
136,车辆画像-故障风险-车辆维修-轮胎压力监测(轮胎),3,137,4,车辆画像,,每周组织车辆轮胎压力检测，对胎压异常车辆强制维修，禁止带病运营。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
137,车辆画像-故障风险-车辆维修-润滑系统故障(润滑系统),3,138,4,车辆画像,,建立润滑系统故障(润滑系统)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
138,车辆画像-故障风险-车辆维修-控制器故障代码(打气泵),3,139,4,车辆画像,,建立控制器故障代码(打气泵)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
139,车辆画像-故障风险-车辆维修-控制器故障代码(助力转向泵),3,140,4,车辆画像,,建立控制器故障代码(助力转向泵)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
140,车辆画像-故障风险-车辆维修-控制器故障代码(DCDC),3,141,4,车辆画像,,建立控制器故障代码(DCDC)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
141,车辆画像-故障风险-车辆维修-绝缘监测故障代码(绝缘监测),3,142,4,车辆画像,,建立绝缘监测故障代码(绝缘监测)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
142,车辆画像-故障风险-行驶路况-线路黑点数,3,143,4,车辆画像,,建立线路黑点数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
143,车辆画像-故障风险-行驶路况-拥堵指数,3,144,4,车辆画像,,建立拥堵指数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
144,车辆画像-故障风险-驾驶不良行为-起步急加速,3,145,4,车辆画像,,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
145,车辆画像-故障风险-驾驶不良行为-急加速,3,146,4,车辆画像,,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
146,车辆画像-故障风险-驾驶不良行为-急减速,3,147,4,车辆画像,,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
147,车辆画像-故障风险-驾驶不良行为-急刹车,3,148,4,车辆画像,,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
148,车辆画像-故障风险-驾驶不良行为-斑马线不文明礼让,3,149,4,车辆画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
149,车辆画像-故障风险-驾驶不良行为-斑马线超速,3,150,4,车辆画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
150,车辆画像-故障风险-驾驶不良行为-违规使用手刹,3,151,4,车辆画像,,建立违规使用手刹指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
151,车辆画像-故障风险-驾驶不良行为-停站N档违规,3,152,4,车辆画像,,建立停站N档违规指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
152,车辆画像-故障风险-驾驶不良行为-违规使用N档,3,153,4,车辆画像,,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
153,车辆画像-故障风险-驾驶不良行为-不规范转弯,3,154,4,车辆画像,,建立不规范转弯指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
154,车辆画像-故障风险-驾驶不良行为-车辆未停稳开车门,3,155,4,车辆画像,,建立车辆未停稳开车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
155,车辆画像-故障风险-驾驶不良行为-车辆起步不关车门,3,156,4,车辆画像,,建立车辆起步不关车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
156,车辆画像-故障风险-驾驶不良行为-空档滑行,3,157,4,车辆画像,,通过车载监控抓拍空档滑行行为，对违规者开展制动安全培训，考核合格再上岗。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
157,车辆画像-故障风险-驾驶不良行为-熄火滑行,3,158,4,车辆画像,,建立熄火滑行指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
158,车辆画像-故障风险-驾驶不良行为-不文明鸣笛,3,159,4,车辆画像,,建立不文明鸣笛指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
159,车辆画像-故障风险-驾驶不良行为-安全带行为,3,160,4,车辆画像,,建立安全带行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
160,车辆画像-故障风险-驾驶不良行为-不规范进站,3,161,4,车辆画像,,建立不规范进站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
161,车辆画像-故障风险-驾驶不良行为-不规范出站,3,162,4,车辆画像,,建立不规范出站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
162,车辆画像-故障风险-驾驶不良行为-急停,3,163,4,车辆画像,,建立急停指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
163,车辆画像-故障风险-驾驶不良行为-门开禁启开关,3,164,4,车辆画像,,建立门开禁启开关指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
164,车辆画像-故障风险-驾驶不良行为-停车不挂N档,3,165,4,车辆画像,,建立停车不挂N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
165,车辆画像-故障风险-驾驶不良行为-不规范开关门,3,166,4,车辆画像,,建立不规范开关门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
166,车辆画像-故障风险-驾驶不良行为-安全启动,3,167,4,车辆画像,,建立安全启动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
167,车辆画像-故障风险-驾驶不良行为-违规使用空调,3,168,4,车辆画像,,建立违规使用空调指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
168,车辆画像-故障风险-驾驶不良行为-平路不规范行为,3,169,4,车辆画像,,建立平路不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
169,车辆画像-故障风险-驾驶不良行为-上坡不规范行为,3,170,4,车辆画像,,建立上坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
170,车辆画像-故障风险-驾驶不良行为-下坡不规范行为,3,171,4,车辆画像,,建立下坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
171,车辆画像-故障风险-驾驶不良行为-违规使用总电,3,172,4,车辆画像,,建立违规使用总电指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
172,车辆画像-故障风险-驾驶不良行为-路口大油门,3,173,4,车辆画像,,建立路口大油门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
173,车辆画像-故障风险-驾驶不良行为-进站违规制动,3,174,4,车辆画像,,建立进站违规制动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
174,车辆画像-故障风险-驾驶不良行为-区间超速,3,175,4,车辆画像,,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
175,车辆画像-故障风险-驾驶不良行为-全局超速,3,176,4,车辆画像,,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
176,车辆画像-故障风险-驾驶不良行为-左转弯未刹车,3,177,4,车辆画像,,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
177,车辆画像-故障风险-驾驶不良行为-右转弯未刹车,3,178,4,车辆画像,,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
178,车辆画像-能耗风险-车辆属性-车龄,3,179,4,车辆画像,,建立车龄指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
179,车辆画像-能耗风险-车辆属性-车长,3,180,4,车辆画像,,建立车长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
180,车辆画像-能耗风险-车辆属性-电池容量,3,181,4,车辆画像,,建立电池容量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
181,车辆画像-能耗风险-车辆属性-车辆品牌,3,182,4,车辆画像,,建立车辆品牌指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
182,车辆画像-能耗风险-车辆属性-车辆自重,3,183,4,车辆画像,,建立车辆自重指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
183,车辆画像-能耗风险-车辆运营-平均速度,3,184,4,车辆画像,,建立平均速度指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
184,车辆画像-能耗风险-车辆运营-运营时长,3,185,4,车辆画像,,建立运营时长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
185,车辆画像-能耗风险-车辆设备-日充电次数,3,186,4,车辆画像,,建立日充电次数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
186,车辆画像-能耗风险-车辆设备-日充电量,3,187,4,车辆画像,,建立日充电量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
187,车辆画像-能耗风险-车辆设备-每公里耗电量,3,188,4,车辆画像,,建立公里耗电量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
188,车辆画像-能耗风险-车辆设备-空气压缩机开启时长,3,189,4,车辆画像,,建立空气压缩机开启时长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
189,车辆画像-能耗风险-车辆设备-空气压缩机开关次数,3,190,4,车辆画像,,建立空气压缩机开关次数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
190,车辆画像-能耗风险-车辆设备-电池电压过低次数,3,191,4,车辆画像,,建立低压蓄电池电压指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
191,车辆画像-能耗风险-车辆设备-电池电流过高次数,3,192,4,车辆画像,,建立低压蓄电池电流指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
192,车辆画像-能耗风险-车辆设备-电池最大电流差,3,193,4,车辆画像,,建立电池最大电流差指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
193,车辆画像-能耗风险-车辆设备-电池最大电压差,3,194,4,车辆画像,,建立电池最大电压差指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
194,车辆画像-能耗风险-车辆维修-维修工单数,3,195,4,车辆画像,,建立维修工单数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
195,车辆画像-能耗风险-车辆维修-ABS故障(仪表盘),3,196,4,车辆画像,,建立ABS故障(仪表盘)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
196,车辆画像-能耗风险-车辆维修-动力电池故障(电池),3,197,4,车辆画像,,建立动力电池故障(电池)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
197,车辆画像-能耗风险-车辆维修-空调工作模式(空调),3,198,4,车辆画像,,建立空调工作模式(空调)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
198,车辆画像-能耗风险-车辆维修-单体高低电压差(平台定义域),3,199,4,车辆画像,,建立单体高低电压差(平台定义域)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
199,车辆画像-能耗风险-车辆维修-左电机故障(电机),3,200,4,车辆画像,,建立左电机故障(电机)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
200,车辆画像-能耗风险-车辆维修-右电机故障(电机),3,201,4,车辆画像,,建立右电机故障(电机)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
201,车辆画像-能耗风险-车辆维修-动力电池故障(整车控制器),3,202,4,车辆画像,,建立动力电池故障(整车控制器)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
202,车辆画像-能耗风险-车辆维修-轮胎温度报警(轮胎),3,203,4,车辆画像,,建立轮胎温度报警(轮胎)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
203,车辆画像-能耗风险-车辆维修-轮胎压力监测(轮胎),3,204,4,车辆画像,,每周组织车辆轮胎压力检测，对胎压异常车辆强制维修，禁止带病运营。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
204,车辆画像-能耗风险-车辆维修-润滑系统故障(润滑系统),3,205,4,车辆画像,,建立润滑系统故障(润滑系统)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
205,车辆画像-能耗风险-车辆维修-控制器故障代码(打气泵),3,206,4,车辆画像,,建立控制器故障代码(打气泵)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
206,车辆画像-能耗风险-车辆维修-控制器故障代码(助力转向泵),3,207,4,车辆画像,,建立控制器故障代码(助力转向泵)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
207,车辆画像-能耗风险-车辆维修-控制器故障代码(DCDC),3,208,4,车辆画像,,建立控制器故障代码(DCDC)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
208,车辆画像-能耗风险-车辆维修-绝缘监测故障代码(绝缘监测),3,209,4,车辆画像,,建立绝缘监测故障代码(绝缘监测)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
209,车辆画像-能耗风险-行驶路况-线路黑点数,3,210,4,车辆画像,,建立线路黑点数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
210,车辆画像-能耗风险-行驶路况-拥堵指数,3,211,4,车辆画像,,建立拥堵指数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
211,车辆画像-能耗风险-驾驶不良行为-起步急加速,3,212,4,车辆画像,,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
212,车辆画像-能耗风险-驾驶不良行为-急加速,3,213,4,车辆画像,,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
213,车辆画像-能耗风险-驾驶不良行为-急减速,3,214,4,车辆画像,,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
214,车辆画像-能耗风险-驾驶不良行为-急刹车,3,215,4,车辆画像,,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
